house_price,listing_price,price_development,number_of_rooms,living_area,secondary_area,plot_area,year_built,operating_cost,sale_date,neighborhood,latitude,longitude,secondary_area_missing,month,year
5050000,4995000,55000,5,103,103,583,1963,48485,2024-11-14,Videdal,55.59346935,13.0652668867941,0,11,2024
5500000,5795000,-295000,4,138,12,525,1972,44000,2024-11-14,Kulladal,55.5692143,12.9925858,0,11,2024
10000000,10500000,-500000,6,145,70,895,1921,51310,2024-11-14,Limhamn,55.5843662,12.9481931052292,0,11,2024
10000000,10500000,-500000,6,165,73,1050,1921,65565,2024-11-12,Mellanheden,55.5870751,12.9681859798813,0,11,2024
6200000,6750000,-550000,5,136,10,554,2006,27150,2024-11-12,Bunkeflostrand,55.5499082,12.9269026,0,11,2024
7250000,6995000,255000,5,125,64,722,1923,49514,2024-11-12,Rostorp,57.7305804,11.9168345,0,11,2024
4900000,5350000,-450000,5,112,69,620,1959,35146,2024-11-08,Eriksfält,55.5749568,13.0083299529854,0,11,2024
9950000,9950000,0,8,237,30,799,2015,52412,2024-11-07,Bunkeflostrand,55.5404294,12.9246954,0,11,2024
6600000,6795000,-195000,7,193,41,750,1909,38884,2024-11-07,Klagshamn,55.5301333,12.9354085439948,0,11,2024
5145000,5145000,0,6,168,80,1419,1947,45631,2024-11-06,Lockarp,55.5438641,12.9929653,0,11,2024
9100000,9495000,-395000,6,150,71,825,1955,57540,2024-11-06,Limhamn,59.333954,18.0961669,0,11,2024
5900000,5995000,-95000,6,110,51,585,1926,40266,2024-11-05,Kulladal,55.57477415,13.003804490482,0,11,2024
5510000,5795000,-285000,4,106,0,798,1921,53241,2024-11-05,Kulladal,55.57025285,12.99335885,1,11,2024
7750000,7495000,255000,5,149,8,990,2009,19442,2024-11-04,Tygelsjö,55.52312595,12.99953045,0,11,2024
6350000,6475000,-125000,5,162,32,500,1928,40450,2024-11-04,Sibbarp,58.1460104,11.8312119,0,11,2024
3500000,3395000,105000,5,127,21,460,1976,48924,2024-11-04,Kyrkby,55.54883675,13.0919120695062,0,11,2024
5425000,5695000,-270000,7,210,69,1012,1995,17993,2024-11-01,Käglinge,55.53299455,13.0881664194847,0,11,2024
3850000,3995000,-145000,6,120,0,345,1988,34280,2024-10-31,Gullvik,55.5725397,13.0268048229354,1,10,2024
6600000,6850000,-250000,6,145,51,643,1935,26100,2024-10-31,Bunkeflostrand,55.5530024,12.916836,0,10,2024
5000000,5250000,-250000,6,157,0,690,1979,35700,2024-10-31,Virentofta,61.6920529,17.1786775,1,10,2024
12800000,13975000,-1175000,8,180,107,832,1946,78786,2024-10-31,Sjösida,55.589434,12.9574332060209,0,10,2024
6300000,6995000,-695000,5,85,62,720,1925,40364,2024-10-31,Rostorp,55.61453615,13.0476658941848,0,10,2024
