house_price,number_of_rooms,living_area,secondary_area,plot_area,year_built,operating_cost,sale_date,neighborhood,latitude,longitude,secondary_area_missing,month,year
6300000,4,129,123,976,1924,60500,2022-03-16,Husie,55.58931345,13.07975965,0,3,2022
5350000,5,138,110,292,1971,61400,2022-03-15,Stenkällan,55.58032325,13.0733615,0,3,2022
5525000,4,65,0,192,1895,26451,2022-03-14,Limhamn,55.5849626,12.9259248,1,3,2022
6775000,7,142,77,1415,1929,37523,2022-03-08,Bunkeflostrand,55.9021651,13.564504915761,0,3,2022
7950000,6,185,12,486,1980,47800,2022-02-28,Djupadal,55.5702404,12.9602701,0,2,2022
7750000,5,141,79,765,1953,38980,2022-02-24,Djupadal,55.577836,12.95113865,0,2,2022
9550000,6,137,28,435,1909,44096,2022-02-24,Limhamn,55.57928305,12.9363061,0,2,2022
7050000,4,103,30,406,1966,52360,2022-02-22,Djupadal,55.5744033,12.9554435499632,0,2,2022
5100000,4,108,0,572,1961,33420,2022-02-16,Bunkeflostrand,55.5571921,12.92566135,1,2,2022
5760000,5,145,0,307,2009,41400,2022-02-10,Videdal,55.58855695,13.060789919689,1,2,2022
5300000,6,160,60,700,1935,48047,2022-02-03,Kattarp,57.67292245,11.897966,0,2,2022
5650000,4,122,70,810,1946,26768,2022-01-21,Bunkeflostrand,55.5611611,12.9233914519581,0,1,2022
6375000,5,162,52,880,1931,47820,2021-12-02,Klagshamn,55.5353834,12.9336124683018,0,12,2021
7000000,7,185,25,568,1977,47000,2021-11-24,Bunkeflostrand,55.7527849,12.9039535,0,11,2021
4995000,6,111,23,636,1966,22316,2021-11-23,Djupadal,55.57193665,12.957255,0,11,2021
6060000,5,130,7,203,2018,32304,2021-11-15,Bunkeflostrand,55.5544564173096,12.9325565954501,0,11,2021
8700000,6,148,6,1021,2016,30000,2021-11-05,Bunkeflostrand,58.3676522,15.7037956,0,11,2021
5640000,5,135,0,424,1991,35200,2021-11-03,Bunkeflostrand,55.554883,12.9243684,1,11,2021
5100000,4,115,56,536,1923,55142,2021-10-28,Ulricedal,55.595859,13.0587460365848,0,10,2021
4100000,4,86,57,538,1923,35500,2021-10-26,Riseberga,55.5964163,13.0839139491994,0,10,2021
3950000,3,75,65,878,1930,39921,2021-10-19,Eriksfält,55.574889,13.0063929222376,0,10,2021
